"team","min_remaining","passes","runs"
"MIA",60,4,1
"NE",60,3,2
"NYJ",60,1,5
"BUF",60,0,4
"WAS",60,2,7
"PHI",60,2,3
"NYG",60,3,0
"PIT",60,3,2
"ATL",60,5,5
"SEA",60,6,0
"NO",60,2,4
"TB",60,3,3
"TEN",60,2,4
"DEN",60,0,8
"all",60,77,97
